"Player" "n" "RallyCount" "PDist" "Point" "Speed" "PrimerServei" "SegonServei" "DobleFalta" "Time" "Genere" "rally_min" "rally_partit" "Dist_min" "Dist_partit" "PercentatgePrimerServei" "PercentatgeSegonServei" "PercentatgeDobleFalta"
"novak djokovic" 71 31328.5 256211.309331111 14072 172.464593837985 4234 2160 241 2057.8 1 15.2242686364078 441.246478873239 124.507391063811 3608.60999057902 63.8131122833459 32.5546345139412 3.63225320271289
"david ferrer" 10 4269 30198.5146045349 1893 169.033908830969 556 343 39 268.936666666667 1 15.8736257607119 426.9 112.288573286901 3019.85146045349 59.275053304904 36.5671641791045 4.15778251599147
"rafael nadal" 54 22606 169790.85242807 10737 172.443583048159 3260 1620 146 1655.79333333333 1 13.6526700192053 418.62962962963 102.543505285323 3144.27504496426 64.8627138877835 32.2323915638679 2.90489454834859
"jan lennard struff" 13 4938.5 42777.7363286593 3166 178.233408018214 886 606 100 403.99 1 12.2243124829823 379.884615384615 105.888106954775 3290.59510220457 55.6532663316583 38.0653266331658 6.28140703517588
"gilles simon" 12 6540.5 42310.9061821422 2879 158.890896831377 933 513 33 417.656666666667 1 15.6599918593422 545.041666666667 101.305473033214 3525.90884851185 63.0831643002028 34.6855983772819 2.23123732251521
"lukas rosol" 3 1280.5 11211.530644821 825 179.218148311956 273 147 17 104.02 1 12.3101326667949 426.833333333333 107.782451882532 3737.176881607 62.4713958810069 33.6384439359268 3.89016018306636
"kei nishikori" 44 17667 154322.381591357 9513 163.001552882502 2933 1597 180 1358.63 1 13.0035403310688 401.522727272727 113.586761363548 3507.32685434903 62.2717622080679 33.9065817409766 3.82165605095541
"thomaz bellucci" 3 1112 6162.90048900986 520 167.419973776223 154 88 16 70.6066666666667 1 15.7492210367293 370.666666666667 87.2849658532224 2054.30016300329 59.6899224806201 34.1085271317829 6.2015503875969
"radu albot" 9 3642 30608.2781320018 2112 163.065535493857 674 322 46 267.22 1 13.6292193698077 404.666666666667 114.54336551157 3400.91979244465 64.6833013435701 30.9021113243762 4.41458733205374
"radek stepanek" 3 1512 7920.83796220407 688 177.195177240519 211 116 23 98.7766666666667 1 15.3072587993116 504 80.1893628272946 2640.27932073469 60.2857142857143 33.1428571428571 6.57142857142857
"malek jaziri" 3 1204.5 6313.27661003406 589 159.538370520622 183 114 11 79.1633333333333 1 15.2153774895785 401.5 79.7500098113697 2104.42553667802 59.4155844155844 37.012987012987 3.57142857142857
"marcos baghdatis" 11 4466 38731.1718685486 2309 168.992099506512 609 460 41 308.72 1 14.4661829489505 406 125.457281253397 3521.01562441351 54.8648648648649 41.4414414414414 3.69369369369369
"milos raonic" 35 11533.5 78800.8158232812 7752 188.531143679507 2450 1095 195 1035.02 1 11.1432629321173 329.528571428571 76.134582735871 2251.45188066518 65.5080213903743 29.2780748663102 5.21390374331551
"taro daniel" 6 2124 16844.1033131365 1143 164.946746073217 350 220 19 158.633333333333 1 13.3893675141837 354 106.182622272346 2807.35055218942 59.4227504244482 37.3514431239389 3.2258064516129
"bjorn fratangelo" 2 838.5 4894.31789797763 400 161.340388114009 114 81 5 53.52 1 15.6670403587444 419.25 91.4483912178182 2447.15894898882 57 40.5 2.5
"mathias bourgue" 1 693 4185.1176194332 276 176.496124031008 95 40 2 42.7766666666667 1 16.2004207901504 693 97.8364595831029 4185.1176194332 69.3430656934307 29.1970802919708 1.45985401459854
"alexander zverev" 41 18793 147755.148143378 9655 186.953612471507 3008 1382 269 1324.33333333333 1 14.1905361188019 458.365853658537 111.5694549283 3603.78410105801 64.5632109894827 29.6630178149818 5.77377119553552
"ernests gulbis" 7 2641 14948.0423348629 1574 187.046263971398 491 254 38 225.16 1 11.7294368449103 377.285714285714 66.3885340862626 2135.43461926613 62.7075351213282 32.4393358876117 4.85312899106003
"jeremy chardy" 12 3654 30916.0550517405 2516 176.61620361786 797 441 49 325.073333333333 1 11.2405405959681 304.5 95.1048636771411 2576.33792097838 61.9269619269619 34.2657342657343 3.80730380730381
"nick kyrgios" 26 9003.5 67032.7245464714 5466 183.906951128033 1782 821 108 711.036666666667 1 12.662497480205 346.288461538462 94.2746382696693 2578.18171332582 65.7322021394319 30.2840280339358 3.98376982663224
"ivo karlovic" 11 2670.5 28854.3647865401 2287 185.915215349335 745 348 55 287.093333333333 1 9.30185305591677 242.772727272727 100.505171790382 2623.12407150364 64.8954703832753 30.3135888501742 4.79094076655052
"viktor troicki" 6 2987.5 15149.8040896117 1346 163.390113796654 366 251 33 178.823333333333 1 16.7064327921412 497.916666666667 84.7193920793991 2524.96734826862 56.3076923076923 38.6153846153846 5.07692307692308
"john isner" 30 11159.5 87904.8291756796 8116 188.737004355133 2722 1119 113 1096.89333333333 1 10.1737330886017 371.983333333333 80.1398153351401 2930.16097252265 68.841679312089 28.3004552352049 2.85786545270612
"dominic thiem" 40 16895.5 119942.5424571 8586 171.437623734063 2483 1524 150 1189.56 1 14.2031507448132 422.3875 100.829333919349 2998.56356142751 59.7305749338465 36.6610536444551 3.60837142169834
"albert ramos vinolas" 12 4942.5 37916.8565607302 2581 162.671589017388 819 432 45 350.8 1 14.0892246294185 411.875 108.086820298547 3159.73804672751 63.1944444444444 33.3333333333333 3.47222222222222
"richard gasquet" 27 10902 75879.5733229741 5261 165.224804024041 1614 949 87 773.72 1 14.090368608799 403.777777777778 98.0711023664557 2810.35456751756 60.9056603773585 35.811320754717 3.28301886792453
"stan wawrinka" 41 18198.5 154743.935713614 9631 171.72231325925 2789 1837 135 1298.31 1 14.0170683426917 443.865853658537 119.188742067467 3774.24233447838 58.5801302247427 38.5843310228944 2.83553875236295
"serena williams" 55 11733 79426.0946293233 6929 158.501420781203 1989 1175 155 917.213333333334 2 12.7920076754227 213.327272727273 86.5950065735233 1444.11081144224 59.9276890629708 35.4022295872251 4.67008134980416
"francesca schiavone" 4 767.5 6698.61444523776 403 146.476083649782 111 89 13 58.0366666666666 2 13.2243983688473 191.875 115.420385593667 1674.65361130944 52.112676056338 41.7840375586854 6.10328638497653
"oceane dodin" 5 1237.5 5503.66545538395 812 157.350224711903 201 176 40 101.84 2 12.151413982718 247.5 54.042276663236 1100.73309107679 48.2014388489209 42.2062350119904 9.59232613908873
"angelique kerber" 45 16531 137092.588713404 6557 140.690122417234 2104 964 127 894.556666666667 2 18.4795448024534 367.355555555556 153.251989305769 3046.50197140898 65.8528951486698 30.1721439749609 3.97496087636933
"danka kovinic" 4 969.5 6907.66111257621 525 152.31191557447 141 91 15 74.7966666666667 2 12.9618075671821 242.375 92.352526127406 1726.91527814405 57.085020242915 36.8421052631579 6.07287449392713
"anna karolina schmiedlova" 3 922 14055.0742991564 629 145.216005940245 189 92 16 90.2599999999999 2 10.2149346332816 307.333333333333 155.71764124924 4685.02476638546 63.6363636363636 30.976430976431 5.38720538720539
"vitalia diatchenko" 5 1122 9515.38410569161 795 150.385331186806 240 138 34 117.586666666667 2 9.5418981743962 224.4 80.9223050149531 1903.07682113832 58.252427184466 33.495145631068 8.25242718446602
