"Player" "n" "RallyCount" "Dist" "Point" "Speed" "FirstServe" "SecondServe" "DoubleFault" "played_minutes" "Gender" "rally_min" "rally_match" "Dist_min" "Dist_match" "Point_min" "Point_match" "played_minutes_match" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"andy murray" 15 6544 38322.7649656082 3199 167.075608173218 943 585 52 474.776666666667 "M" 13.7833226850519 436.266666666667 80.7174565562928 2554.85099770721 6.73790483946838 213.266666666667 31.6517777777778 59.6835443037975 37.0253164556962 3.29113924050633
"alex de minaur" 3 1477 8866.53073987543 670 156.213125250801 216 116 15 87.22 "M" 16.9341894060995 492.333333333333 101.657082548446 2955.51024662514 7.68172437514332 223.333333333333 29.0733333333333 62.2478386167147 33.4293948126801 4.32276657060519
"quentin halys" 1 373 1804.79710714286 285 175.847222222222 94 51 7 33.1833333333333 "M" 11.2405826217981 373 54.3886621941596 1804.79710714286 8.58864892014064 285 33.1833333333333 61.8421052631579 33.5526315789474 4.60526315789474
"tomas berdych" 11 3423 18057.672632767 2074 179.524525190261 624 365 33 262.963333333333 "M" 13.0170239196846 311.181818181818 68.6699259697818 1641.60660297882 7.88703114502656 188.545454545455 23.9057575757576 61.0567514677104 35.7142857142857 3.22896281800391
"jurgen melzer" 1 377.5 1908.36497474747 215 168.733944954128 85 24 1 25.17 "M" 14.9980135081446 377.5 75.8190295886957 1908.36497474747 8.54191497814859 215 25.17 77.2727272727273 21.8181818181818 0.909090909090909
"andrey kuznetsov" 3 1401 7495.596897854 787 165.893065862709 221 166 13 108.446666666667 "M" 12.9187926476916 467 69.1178173405115 2498.53229928467 7.25702342165119 262.333333333333 36.1488888888889 55.25 41.5 3.25
"stan wawrinka" 14 6027 35441.1337803881 3127 172.278997661112 938 602 37 426.373333333333 "M" 14.1354994058415 430.5 83.1223038817033 2531.50955574201 7.3339483394834 223.357142857143 30.4552380952381 59.4800253646164 38.1737476220672 2.34622701331642
"james duckworth" 1 550.5 2649.44065573771 284 166.143939393939 69 66 7 39.23 "M" 14.0326280907469 550.5 67.5360860499034 2649.44065573771 7.23935763446342 284 39.23 48.5915492957746 46.4788732394366 4.92957746478873
"steve darcis" 2 955 4522.82503028056 470 158.08198494419 131 87 4 63.6166666666667 "M" 15.0117893633744 477.5 71.0949703476116 2261.41251514028 7.38800104794341 235 31.8083333333333 59.009009009009 39.1891891891892 1.8018018018018
"gastao elias" 1 216 1222.21051162791 132 167.106060606061 35 31 2 17.04 "M" 12.6760563380282 216 71.7259689922482 1222.21051162791 7.74647887323944 132 17.04 51.4705882352941 45.5882352941176 2.94117647058824
"jo wilfried tsonga" 11 4394 25488.032752198 2498 172.725181099702 716 425 38 320.963333333333 "M" 13.6900372835942 399.454545454545 79.4110420261858 2317.09388656346 7.78282046755081 227.090909090909 29.1784848484849 60.7294317217981 36.0474978795589 3.22307039864292
"pierre hugues herbert" 3 717 3996.25986311927 533 172.61537004662 170 83 12 64.7633333333334 "M" 11.0710793144269 239 61.705592615975 1332.08662103976 8.22996551546656 177.666666666667 21.5877777777778 64.1509433962264 31.3207547169811 4.52830188679245
"bernard tomic" 5 2321.5 11768.7172894121 1094 163.94222732014 343 181 13 140.066666666667 "M" 16.5742503569729 464.3 84.0222557549651 2353.74345788242 7.81056639695383 218.8 28.0133333333333 63.8733705772812 33.7057728119181 2.42085661080074
"jerzy janowicz" 3 932 4719.62713508885 716 179.711448130721 213 126 10 90.6166666666667 "M" 10.2850836858562 310.666666666667 52.0834335305005 1573.20904502962 7.90141622218135 238.666666666667 30.2055555555556 61.0315186246418 36.1031518624642 2.86532951289398
"gael monfils" 14 5911 33817.5214634904 2855 171.259590905929 870 475 58 372.696666666666 "M" 15.8600828198088 422.214285714286 90.7373864272744 2415.53724739217 7.66038512105466 203.928571428571 26.6211904761905 62.0099786172487 33.856022808268 4.13399857448325
"alexander zverev" 10 4777 25456.8603224559 2433 185.363980650247 768 373 64 325.05 "M" 14.6962005845255 477.7 78.3167522610548 2545.68603224559 7.48500230733733 243.3 32.505 63.7344398340249 30.954356846473 5.31120331950207
"florian mayer" 3 1008 5055.5281751836 550 168.442712418301 178 112 7 71.3866666666666 "M" 14.1202838998879 336 70.8189415649552 1685.17605839453 7.70451998505791 183.333333333333 23.7955555555555 59.9326599326599 37.7104377104377 2.35690235690236
"roberto bautista agut" 8 3795.5 21508.2587154045 1654 164.494142036082 545 259 23 234.073333333333 "M" 16.2150038449489 474.4375 91.8868390906179 2688.53233942557 7.06616160177723 206.75 29.2591666666666 65.90084643289 31.3180169286578 2.78113663845224
"yoshihito nishioka" 2 982.5 5115.11161497326 430 149.364614593158 145 81 8 55.8533333333333 "M" 17.5907137741705 491.25 91.581134190259 2557.55580748663 7.69873478157079 215 27.9266666666666 61.965811965812 34.6153846153846 3.41880341880342
"omar jasika" 1 275.5 1558.8736119403 136 167.5 41 23 5 17.2566666666667 "M" 15.9648445045393 275.5 90.3345728379542 1558.8736119403 7.88101216920995 136 17.2566666666667 59.4202898550725 33.3333333333333 7.2463768115942
"dustin brown" 3 715.5 4549.41836172803 504 178.06038059163 155 101 16 55.82 "M" 12.8179863848083 238.5 81.5015829761381 1516.47278724268 9.0290218559656 168 18.6066666666667 56.9852941176471 37.1323529411765 5.88235294117647
