"match_id" "RallyCount" "P1Dist" "P2Dist" "Point" "Speed" "Speed1" "Speed2" "FirstServe1" "SecondServe1" "DoubleFault1" "FirstServe2" "SecondServe2" "DoubleFault2" "Time" "matchnum" "Slam" "Gender" "player1" "player2" "split_time" "total_minutes" "played_minutes" "rally_min" "P1dist_min" "P2dist_min" "Dist" "Dist_min" "FirstServe" "SecondServe" "DoubleFault" "year" "surface" "PercFirstServe1" "PercSecondServe1" "PercDoubleFault1" "PercFirstServe2" "PercSecondServe2" "PercDoubleFault2" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"2019-ausopen-1101" "794" "NaN" "NaN" "182" "181.450549450549" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1101" "ausopen" "M" "n. djokovic" "m. krueger" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1102" "590" "NaN" "NaN" "202" "168.680203045685" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1102" "ausopen" "M" "j. tsonga" "m. klizan" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1103" "562" "NaN" "NaN" "128" "158.1171875" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1103" "ausopen" "M" "t. daniel" "t. kokkinakis" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1104" "574" "NaN" "NaN" "177" "179.638418079096" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1104" "ausopen" "M" "p. andujar" "d. shapovalov" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1105" "301" "NaN" "NaN" "145" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1105" "ausopen" "M" "d. goffin" "c. garin" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1106" "288" "NaN" "NaN" "164" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1106" "ausopen" "M" "m. granollers" "m. copil" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1107" "255" "NaN" "NaN" "152" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1107" "ausopen" "M" "j. vesely" "r. harrison" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1108" "281" "NaN" "NaN" "146" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1108" "ausopen" "M" "l. harris" "d. medvedev" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1109" "829" "NaN" "NaN" "199" "169.787878787879" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1109" "ausopen" "M" "f. fognini" "j. munar" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1110" "456" "NaN" "NaN" "266" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1110" "ausopen" "M" "n. jarry" "l. mayer" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1111" "533" "NaN" "NaN" "252" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1111" "ausopen" "M" "i. ivashka" "m. jaziri" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1112" "610" "NaN" "NaN" "331" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1112" "ausopen" "M" "l. vanni" "p. carreno busta" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1113" "746" "NaN" "NaN" "163" "169.41717791411" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1113" "ausopen" "M" "p. kohlschreiber" "z. li" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1114" "721" "NaN" "NaN" "347" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1114" "ausopen" "M" "g. pella" "j. sousa" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1115" "511" "NaN" "NaN" "303" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1115" "ausopen" "M" "i. karlovic" "h. hurkacz" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1116" "774" "NaN" "NaN" "232" "168.688311688312" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1116" "ausopen" "M" "k. majchrzak" "k. nishikori" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1117" "610" "NaN" "NaN" "161" "181.316770186335" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1117" "ausopen" "M" "a. zverev" "a. bedene" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1118" "717" "NaN" "NaN" "374" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1118" "ausopen" "M" "j. chardy" "u. humbert" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1119" "509" "NaN" "NaN" "213" "172.566666666667" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1119" "ausopen" "M" "a. bolt" "j. sock" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1120" "373" "NaN" "NaN" "186" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1120" "ausopen" "M" "b. fratangelo" "g. simon" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1121" "968" "NaN" "NaN" "309" "177.605863192182" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1121" "ausopen" "M" "h. chung" "b. klahn" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1122" "427" "NaN" "NaN" "254" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1122" "ausopen" "M" "s. querrey" "p. herbert" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1123" "247" "NaN" "NaN" "85" "177.105882352941" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1123" "ausopen" "M" "s. wawrinka" "e. gulbis" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1124" "377" "NaN" "NaN" "171" "195.858823529412" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1124" "ausopen" "M" "n. kyrgios" "m. raonic" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1125" "628" "NaN" "NaN" "163" "168.411042944785" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1125" "ausopen" "M" "b. coric" "s. darcis" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1126" "534" "NaN" "NaN" "264" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1126" "ausopen" "M" "a. ramos-vinolas" "m. fucsovics" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1127" "519" "NaN" "NaN" "271" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1127" "ausopen" "M" "l. djere" "e. donskoy" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1128" "521" "NaN" "NaN" "266" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1128" "ausopen" "M" "f. krajinovic" "m. cecchinato" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1129" "328" "NaN" "NaN" "175" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1129" "ausopen" "M" "l. pouille" "m. kukushkin" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1130" "533" "NaN" "NaN" "146" "171.541095890411" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1130" "ausopen" "M" "m. marterer" "g. sakharov" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1131" "443" "NaN" "NaN" "218" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1131" "ausopen" "M" "a. popyrin" "m. zverev" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1132" "1231" "NaN" "NaN" "332" "171.414634146341" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1132" "ausopen" "M" "b. paire" "d. thiem" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1133" "650" "NaN" "NaN" "197" "176.326530612245" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1133" "ausopen" "M" "m. cilic" "b. tomic" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
