"vars" "tournament" "type" "value" "year"
"RallyCount" "ausopen" "perc_missing" 0.00317228690162738 2011
"P1DistanceRun" "ausopen" "perc_missing" 100 2011
"P2DistanceRun" "ausopen" "perc_missing" 100 2011
"ServeNumber" "ausopen" "perc_missing" 100 2011
"ServeIndicator" "ausopen" "perc_missing" 0 2011
"Speed_KMH" "ausopen" "perc_missing" 0.00317228690162738 2011
"RallyCount" "frenchopen" "perc_missing" 0.0029120559114735 2011
"P1DistanceRun" "frenchopen" "perc_missing" 100 2011
"P2DistanceRun" "frenchopen" "perc_missing" 100 2011
"ServeNumber" "frenchopen" "perc_missing" 100 2011
"ServeIndicator" "frenchopen" "perc_missing" 0 2011
"Speed_KMH" "frenchopen" "perc_missing" 0.0029120559114735 2011
"RallyCount" "wimbledon" "perc_missing" 0 2011
"P1DistanceRun" "wimbledon" "perc_missing" 100 2011
"P2DistanceRun" "wimbledon" "perc_missing" 100 2011
"ServeNumber" "wimbledon" "perc_missing" 100 2011
"ServeIndicator" "wimbledon" "perc_missing" 0 2011
"Speed_KMH" "wimbledon" "perc_missing" 0 2011
"RallyCount" "usopen" "perc_missing" 0 2011
"P1DistanceRun" "usopen" "perc_missing" 100 2011
"P2DistanceRun" "usopen" "perc_missing" 100 2011
"ServeNumber" "usopen" "perc_missing" 100 2011
"ServeIndicator" "usopen" "perc_missing" 0 2011
"Speed_KMH" "usopen" "perc_missing" 0 2011
"RallyCount" "ausopen" "perc_zero" 4.37458363734416 2011
"P1DistanceRun" "ausopen" "perc_zero" 0 2011
"P2DistanceRun" "ausopen" "perc_zero" 0 2011
"ServeNumber" "ausopen" "perc_zero" 0 2011
"ServeIndicator" "ausopen" "perc_zero" 0.567839355391302 2011
"Speed_KMH" "ausopen" "perc_zero" 9.06322367794943 2011
"RallyCount" "frenchopen" "perc_zero" 7.3296447291788 2011
"P1DistanceRun" "frenchopen" "perc_zero" 0 2011
"P2DistanceRun" "frenchopen" "perc_zero" 0 2011
"ServeNumber" "frenchopen" "perc_zero" 0 2011
