"","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28"
"1",2.3293309,2.3293309,1,2.3293309,1,2.3293309,2.3293309,1,2.3293309,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,3.4648711,1,2.3293309,3.4648711,2.3293309
"2",2.3293309,3.4648711,2.3293309,2.3293309,2.3293309,1,1,2.3293309,2.3293309,3.4648711,3.4648711,4,3.4648711,1,1,4,1,3.4648711,2.3293309,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,1,1,3.4648711,1
"3",1,1,1,1,1,1,1,1,1,2.3293309,3.4648711,2.3293309,1,2.3293309,1,1,2.3293309,2.3293309,1,2.3293309,3.4648711,2.3293309,3.4648711,2.3293309,1,1,1,1
"4",1,3.4648711,2.3293309,4,1,4,4,1,1,2.3293309,1,4,1,1,1,1,1,3.4648711,1,1,1,2.3293309,1,1,1,1,1,4
"5",1,3.4648711,1,2.3293309,1,1,1,1,1,3.4648711,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,1,3.4648711,2.3293309,1,1,1,2.3293309,1,2.3293309,2.3293309,1,1,1
"6",2.3293309,2.3293309,1,1,1,1,1,2.3293309,1,2.3293309,2.3293309,1,1,1,1,1,1,2.3293309,1,2.3293309,1,1,1,2.3293309,1,2.3293309,2.3293309,2.3293309
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,2.3293309,1,2.3293309,2.3293309,1,1,1,1,2.3293309,2.3293309,1,1,1,1,1
"8",1,1,1,2.3293309,1,2.3293309,1,1,1,3.4648711,3.4648711,3.4648711,2.3293309,2.3293309,1,2.3293309,1,3.4648711,1,2.3293309,1,3.4648711,3.4648711,2.3293309,1,2.3293309,1,2.3293309
"9",1,1,2.3293309,1,1,1,1,1,4,2.3293309,4,2.3293309,4,2.3293309,1,3.4648711,1,3.4648711,2.3293309,1,2.3293309,2.3293309,2.3293309,1,2.3293309,1,2.3293309,1
"10",4,4,3.4648711,3.4648711,1,2.3293309,2.3293309,1,3.4648711,4,3.4648711,4,4,4,2.3293309,1,4,4,4,2.3293309,3.4648711,4,3.4648711,3.4648711,2.3293309,3.4648711,4,3.4648711
"11",2.3293309,2.3293309,1,2.3293309,1,1,2.3293309,1,2.3293309,2.3293309,1,2.3293309,2.3293309,2.3293309,1,1,1,2.3293309,2.3293309,1,2.3293309,2.3293309,2.3293309,1,1,2.3293309,2.3293309,2.3293309
"12",2.3293309,1,1,1,1,2.3293309,1,2.3293309,3.4648711,2.3293309,3.4648711,3.4648711,1,1,1,1,1,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,1,3.4648711,2.3293309,2.3293309
"13",1,2.3293309,2.3293309,3.4648711,1,1,1,2.3293309,1,2.3293309,1,1,1,1,1,2.3293309,1,2.3293309,1,1,1,2.3293309,1,1,1,1,1,1
"14",3.4648711,4,3.4648711,1,1,3.4648711,3.4648711,3.4648711,2.3293309,4,1,4,4,2.3293309,1,2.3293309,1,4,2.3293309,1,3.4648711,3.4648711,2.3293309,1,1,3.4648711,4,3.4648711
"15",3.4648711,4,3.4648711,2.3293309,1,4,3.4648711,4,2.3293309,4,2.3293309,4,3.4648711,4,4,3.4648711,1,4,2.3293309,4,2.3293309,2.3293309,2.3293309,2.3293309,4,4,4,2.3293309
"16",2.3293309,1,1,2.3293309,1,1,1,1,1,2.3293309,2.3293309,2.3293309,1,2.3293309,1,1,1,2.3293309,1,1,2.3293309,1,2.3293309,2.3293309,1,2.3293309,1,1
"17",1,2.3293309,1,1,1,2.3293309,1,1,2.3293309,2.3293309,1,2.3293309,2.3293309,1,1,4,1,2.3293309,2.3293309,1,2.3293309,2.3293309,1,1,1,1,1,1
"18",2.3293309,3.4648711,2.3293309,1,1,3.4648711,2.3293309,1,2.3293309,2.3293309,1,2.3293309,4,1,1,2.3293309,1,3.4648711,2.3293309,1,2.3293309,3.4648711,2.3293309,2.3293309,1,2.3293309,3.4648711,2.3293309
"19",1,2.3293309,1,1,2.3293309,2.3293309,1,1,2.3293309,1,1,2.3293309,1,1,2.3293309,2.3293309,1,2.3293309,1,2.3293309,2.3293309,3.4648711,1,1,2.3293309,2.3293309,2.3293309,2.3293309
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.3293309,1,1,1,1,1,1,1,1,1,1,1
"21",2.3293309,2.3293309,1,1,1,2.3293309,1,1,1,2.3293309,1,1,1,2.3293309,2.3293309,2.3293309,1,2.3293309,1,2.3293309,2.3293309,2.3293309,1,1,2.3293309,1,2.3293309,1
"22",2.3293309,2.3293309,1,3.4648711,1,2.3293309,3.4648711,1,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,1,1,1,1,2.3293309,3.4648711,1,1,2.3293309,1,2.3293309,1,2.3293309,1,2.3293309
"23",2.3293309,3.4648711,1,3.4648711,1,2.3293309,1,1,1,3.4648711,3.4648711,3.4648711,2.3293309,1,1,1,1,4,2.3293309,1,2.3293309,1,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,1
"24",1,2.3293309,1,1,1,1,2.3293309,1,4,2.3293309,1,3.4648711,4,1,1,1,1,2.3293309,2.3293309,2.3293309,1,1,1,2.3293309,1,1,1,1
"25",3.4648711,2.3293309,1,1,1,1,1,3.4648711,1,2.3293309,1,2.3293309,1,2.3293309,1,1,3.4648711,2.3293309,1,1,1,2.3293309,1,1,1,1,1,3.4648711
"26",2.3293309,3.4648711,2.3293309,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,2.3293309,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,3.4648711,3.4648711,2.3293309,3.4648711,2.3293309,2.3293309,3.4648711,2.3293309,2.3293309
"27",3.4648711,4,3.4648711,4,2.3293309,4,3.4648711,2.3293309,3.4648711,3.4648711,2.3293309,3.4648711,3.4648711,2.3293309,3.4648711,1,2.3293309,3.4648711,3.4648711,2.3293309,3.4648711,3.4648711,2.3293309,2.3293309,3.4648711,4,3.4648711,2.3293309
"28",2.3293309,2.3293309,1,2.3293309,1,1,2.3293309,1,2.3293309,2.3293309,2.3293309,3.4648711,3.4648711,1,1,2.3293309,1,2.3293309,2.3293309,1,1,2.3293309,1,2.3293309,1,1,1,1
"29",2.3293309,4,1,1,1,2.3293309,1,1,4,2.3293309,2.3293309,4,4,2.3293309,1,4,1,4,4,3.4648711,1,3.4648711,1,2.3293309,4,1,4,4
"30",1,1,1,1,1,1,1,1,1,2.3293309,1,1,1,1,1,1,1,2.3293309,1,1,1,2.3293309,2.3293309,2.3293309,1,1,1,1
"31",3.4648711,3.4648711,2.3293309,3.4648711,1,3.4648711,2.3293309,2.3293309,1,3.4648711,1,3.4648711,2.3293309,1,1,2.3293309,1,3.4648711,1,3.4648711,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,3.4648711,2.3293309
"32",3.4648711,3.4648711,2.3293309,3.4648711,1,3.4648711,3.4648711,2.3293309,2.3293309,4,1,3.4648711,3.4648711,4,2.3293309,3.4648711,2.3293309,3.4648711,2.3293309,3.4648711,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,1,4,1
"33",3.4648711,4,4,3.4648711,1,4,4,3.4648711,1,4,4,4,4,2.3293309,2.3293309,2.3293309,4,4,1,1,2.3293309,1,4,1,1,3.4648711,4,1
"34",3.4648711,2.3293309,2.3293309,2.3293309,1,1,1,1,3.4648711,2.3293309,1,3.4648711,4,2.3293309,3.4648711,4,2.3293309,3.4648711,1,1,2.3293309,2.3293309,2.3293309,2.3293309,1,1,1,1
"35",2.3293309,2.3293309,1,1,1,2.3293309,1,2.3293309,2.3293309,2.3293309,1,2.3293309,2.3293309,1,1,2.3293309,1,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,2.3293309,1,1,2.3293309,2.3293309,1
"36",1,2.3293309,1,2.3293309,1,3.4648711,3.4648711,2.3293309,4,2.3293309,3.4648711,3.4648711,3.4648711,1,1,4,1,2.3293309,4,4,4,3.4648711,3.4648711,3.4648711,1,3.4648711,3.4648711,1
"37",1,2.3293309,1,2.3293309,1,2.3293309,1,1,2.3293309,2.3293309,2.3293309,3.4648711,1,1,1,2.3293309,1,3.4648711,2.3293309,1,2.3293309,3.4648711,3.4648711,2.3293309,1,1,1,1
"38",2.3293309,1,1,1,1,2.3293309,1,1,2.3293309,2.3293309,4,1,2.3293309,1,1,1,1,3.4648711,1,1,1,4,1,1,1,1,1,1
