"","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28"
"1",2,2,1,2,1,2,2,1,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,3,1,2,3,2
"2",2,3,2,2,2,1,1,2,2,3,3,4,3,1,1,4,1,3,2,2,2,3,3,2,1,1,3,1
"3",1,1,1,1,1,1,1,1,1,2,3,2,1,2,1,1,2,2,1,2,3,2,3,2,1,1,1,1
"4",1,3,2,4,1,4,4,1,1,2,1,4,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,4
"5",1,3,1,2,1,1,1,1,1,3,2,2,3,3,2,1,3,2,1,1,1,2,1,2,2,1,1,1
"6",2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,2
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,1,1
"8",1,1,1,2,1,2,1,1,1,3,3,3,2,2,1,2,1,3,1,2,1,3,3,2,1,2,1,2
"9",1,1,2,1,1,1,1,1,4,2,4,2,4,2,1,3,1,3,2,1,2,2,2,1,2,1,2,1
"10",4,4,3,3,1,2,2,1,3,4,3,4,4,4,2,1,4,4,4,2,3,4,3,3,2,3,4,3
"11",2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2
"12",2,1,1,1,1,2,1,2,3,2,3,3,1,1,1,1,1,2,2,2,2,2,2,2,1,3,2,2
"13",1,2,2,3,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1
"14",3,4,3,1,1,3,3,3,2,4,1,4,4,2,1,2,1,4,2,1,3,3,2,1,1,3,4,3
"15",3,4,3,2,1,4,3,4,2,4,2,4,3,4,4,3,1,4,2,4,2,2,2,2,4,4,4,2
"16",2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1
"17",1,2,1,1,1,2,1,1,2,2,1,2,2,1,1,4,1,2,2,1,2,2,1,1,1,1,1,1
"18",2,3,2,1,1,3,2,1,2,2,1,2,4,1,1,2,1,3,2,1,2,3,2,2,1,2,3,2
"19",1,2,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,3,1,1,2,2,2,2
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"21",2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,2,1
"22",2,2,1,3,1,2,3,1,2,2,3,3,2,1,1,1,1,2,3,1,1,2,1,2,1,2,1,2
"23",2,3,1,3,1,2,1,1,1,3,3,3,2,1,1,1,1,4,2,1,2,1,2,2,2,2,2,1
"24",1,2,1,1,1,1,2,1,4,2,1,3,4,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1
"25",3,2,1,1,1,1,1,3,1,2,1,2,1,2,1,1,3,2,1,1,1,2,1,1,1,1,1,3
"26",2,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,2,2
"27",3,4,3,4,2,4,3,2,3,3,2,3,3,2,3,1,2,3,3,2,3,3,2,2,3,4,3,2
"28",2,2,1,2,1,1,2,1,2,2,2,3,3,1,1,2,1,2,2,1,1,2,1,2,1,1,1,1
"29",2,4,1,1,1,2,1,1,4,2,2,4,4,2,1,4,1,4,4,3,1,3,1,2,4,1,4,4
"30",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1
"31",3,3,2,3,1,3,2,2,1,3,1,3,2,1,1,2,1,3,1,3,2,2,2,2,2,2,3,2
"32",3,3,2,3,1,3,3,2,2,4,1,3,3,4,2,3,2,3,2,3,2,2,2,2,2,1,4,1
"33",3,4,4,3,1,4,4,3,1,4,4,4,4,2,2,2,4,4,1,1,2,1,4,1,1,3,4,1
"34",3,2,2,2,1,1,1,1,3,2,1,3,4,2,3,4,2,3,1,1,2,2,2,2,1,1,1,1
"35",2,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1
"36",1,2,1,2,1,3,3,2,4,2,3,3,3,1,1,4,1,2,4,4,4,3,3,3,1,3,3,1
"37",1,2,1,2,1,2,1,1,2,2,2,3,1,1,1,2,1,3,2,1,2,3,3,2,1,1,1,1
"38",2,1,1,1,1,2,1,1,2,2,4,1,2,1,1,1,1,3,1,1,1,4,1,1,1,1,1,1
